recno,Source,n_Source,Name,RGal,dSun,theta,Diam,He+/H+,Snu,ne,Te,e_Te,Qc,Ql,SimbadName,_RA,_DE
65,"G93.060+2.81 ","   "," ",12.3,8.5,,,0.068,0.0,,10840,270,C,C,"[L89b] 93.060+2.810",318.1,52.48
66,"G102.88-0.72 ","   ","S132",11.3,5.8,17.0,29.0,0.075,7.8,17.3,14800,12780,E,E,"Sh 2-132",334.8,56.08
67,"G107.18-0.95 ","   ","S142",10.6,4.3,10.7,13.4,0.052,4.6,29.1,10400,270,D,E,"Sh 2-142",341.87,58.05
68,"G110.11+0.04 ","   ","S156",11.5,5.3,1.8,2.8,0.04,1.7,232.6,9070,140,A,D,"Sh 2-156",346.3,60.25
69,"G111.53+0.82 ","   ","S158/NGC 7538",12.4,6.4,4.8,8.8,0.089,18.9,158.2,8230,40,B,A,"NGC 7538",348.45,61.47
70,"G112.24+0.23 ","   ","S162/NGC 7635",11.1,4.7,6.8,9.2,0.083,3.4,46.1,8070,130,B,C,"NGC 7635",350.2,61.2
71,"G118.15+4.96 ","   ","S171 A",9.0,0.9,22.8,6.1,0.064,24.7,46.4,9540,1050,C,C,"Sh 2-171",0.77,67.38
72,"G133.72+1.21 ","   ","W3",11.7,4.1,3.1,3.7,0.075,40.0,549.0,8380,40,B,A,"W3",36.77,61.87
73,"G133.790+1.4 ","   "," ",12.5,5.0,4.7,6.9,0.081,14.1,157.1,8880,120,C,A,"[L89b] 133.790+01.410",36.72,62.25
74,"G150.59-0.95 ","   ","S206",11.5,3.3,4.8,4.5,0.092,5.8,125.0,9710,90,B,B,"Sh 2-206",60.82,51.32
75,"G151.587-0.2 ","d  ","S209 N",16.7,8.7,5.6,14.1,0.081,7.8,73.7,12570,360,C,C,"Sh 2-209 N",62.77,51.18
76,"G151.59-0.23 ","d  ","S209",16.9,8.9,5.6,14.4,0.078,7.8,70.7,10510,90,B,B,"Sh 2-209",62.77,51.17
77,"G151.636-0.5 ","d  ","S209 S",19.9,12.0,5.6,19.5,0.079,1.0,21.6,8680,340,B,E,"Sh 2-209 S",62.55,50.97
78,"G155.36+2.61 ","   ","S212",16.7,8.6,5.8,14.4,0.117,2.1,35.5,10460,240,B,D,"Sh 2-212",70.15,50.47
79,"G169.19-0.90 ","   ","S228",13.8,5.3,4.8,7.4,0.065,1.0,40.3,9700,740,B,E,"Sh 2-228",78.35,37.45
80,"G173.60+2.80 ","   ","S235",10.1,1.6,6.6,3.1,0.049,3.3,81.6,8940,170,A,D,"Sh 2-235",85.22,35.7
81,"G189.97+0.40 ","   ","S252",12.1,3.6,12.1,12.8,0.055,5.2,27.6,9460,230,C,E,"Sh 2-252",92.42,20.5
82,"G201.6+1.6   ","   "," ",12.7,4.4,10.9,14.0,0.078,4.1,26.1,9140,220,C,D,"Gal 201.6+1.6",99.17,10.77
83,"G206.122-2.3 ","d  ","Rosette B",10.7,2.4,10.0,6.9,0.061,2.8,32.3,7480,210,D,D,"Rosette B",97.67,4.98
84,"G206.618-1.8 ","d  ","Rosette A",10.5,2.2,18.0,11.6,0.069,14.0,32.9,10770,310,D,D,"Rosette A",98.37,4.8
85,"G209.01-19.4 ","   ","Ori A",8.9,0.5,5.5,0.8,0.078,258.5,1672.6,7860,40,A,B,"Ori A",83.82,-5.38
86,"G213.71-12.6 ","   ","MONR 2",9.6,1.3,1.2,0.5,0.07,5.7,1567.9,8570,90,A,D,"MON R2",91.95,-6.38
87,"G220.508-2.8 ","   ","S291",16.6,9.2,9.4,25.2,0.07,2.0,18.0,21810,4670,C,E,"Sh 2-291",103.87,-8.02
88,"G223.7-1.9   ","   "," ",9.7,1.6,14.8,6.7,0.07,6.1,34.2,9910,1770,C,E,"Gal 223.7-1.9",106.07,-10.45
89,"G227.79-0.12 ","   ","S298/NGC 2359",12.4,5.0,10.6,15.3,0.099,3.5,25.4,13560,770,A,E,"NGC 2359",109.62,-13.23
90,"G231.48-4.40 ","   ","RCW 6",12.9,5.8,9.0,15.1,0.087,3.7,28.9,9740,260,B,D,"RCW 6",107.47,-18.5
91,"G243.16+0.37 ","   ","S311",12.0,5.4,10.2,16.0,0.08,14.5,49.9,10220,110,B,B,"Sh 2-311",118.07,-26.45
92,"G345.03+1.54 ","   "," ",7.1,,10.8,,0.07,7.7,,6850,350,D,D,"Gal 345.03+1.54",254.47,-40.38
93,"G345.23+1.03 ","   "," ",7.3,,4.4,,0.03,8.8,,7590,120,B,E,"[CH87] 345.231+1.035",255.15,-40.53
94,"G345.31+1.47 ","   "," ",7.1,,7.3,,0.059,13.4,,8530,640,B,C,"Gal 345.31+1.47",254.77,-40.2
95,"G345.40+1.41 ","   "," ",7.0,,,,0.059,,,,,B,D,"Gal 345.40+1.41",254.92,-40.17
96,"G345.43-0.94 ","   "," ",6.2,14.0,3.2,13.0,0.059,27.5,228.4,6960,50,A,A,"Gal 345.43-0.94",257.4,-41.58
97,"G345.54+0.10 ","   "," ",9.4,17.5,3.9,19.9,0.07,1.6,40.3,12320,970,C,E,"GAL 345.54+00.10",256.37,-40.87
98,"G347.96-0.44 ","   "," ",2.5,,5.7,,0.07,2.3,,5930,200,B,D,"Gal 347.96-0.44",258.82,-39.23
99,"G348.23-0.98 ","   "," ",6.3,14.3,3.3,13.6,0.182,8.3,118.6,6610,100,A,C,"Gal 348.23-0.98",259.6,-39.32
100,"G348.72-1.03 ","   "," ",6.9,,4.3,,0.062,32.0,,7150,90,B,B,"Gal 348.72-1.03",260.0,-38.95
101,"G350.13+0.09 ","   "," ",2.6,6.2,3.1,5.5,0.072,6.1,171.7,6710,120,B,D,"Gal 350.13+0.09",259.87,-37.17
102,"G351.063+0.6 ","   "," ",7.9,0.6,8.0,1.4,0.07,26.2,283.3,10570,340,C,D,"[L89b] 351.063+0.662",259.95,-36.07
103,"G351.192+0.7 ","   "," ",8.8,17.1,7.4,36.9,0.049,30.6,59.3,5610,20,B,A,"[L89b] 351.192+0.708",260.0,-35.93
104,"G351.201+0.4 ","   "," ",7.2,1.4,6.8,2.7,0.081,15.9,178.5,6650,70,B,C,"[L89b] 351.201+0.483",260.22,-36.05
105,"G351.246+0.7 ","d  ","NGC 6334 A",8.8,17.1,5.6,27.7,0.052,36.2,106.1,8560,70,C,B,"NGC 6334 A",260.07,-35.92
106,"G351.358+0.6 ","   ","S8",7.9,0.6,7.0,1.3,0.067,54.4,460.7,6840,40,C,A,"Sh 2-8",260.17,-35.88
107,"G351.368+0.7 ","d  ","NGC 6334 D",7.9,16.2,7.5,35.2,0.058,61.8,94.0,9700,90,C,A,"NGC 6334 D",260.17,-35.82
108,"G351.467-0.4 ","   "," ",5.1,3.4,3.5,3.4,0.07,2.8,133.2,7460,120,B,C,"[L89b] 351.467-00.462",261.39,-36.37
109,"G351.613-1.2 ","   "," ",6.0,14.3,2.9,12.2,0.088,23.2,238.2,7620,30,A,A,"[L89b] 351.613-01.270",262.32,-36.7
110,"G351.64-1.26 ","   "," ",6.1,,3.1,,0.083,21.0,,6490,210,B,B,"Gal 351.64-1.26",262.32,-36.67
111,"G351.69-1.17 ","   "," ",6.4,14.7,5.1,22.0,0.077,11.8,72.2,7560,90,B,B,"Gal 351.69-1.17",262.27,-36.57
112,"G352.61-0.17 ","   "," ",2.0,6.7,4.1,8.0,0.07,2.6,70.3,7560,240,B,C,"Gal 352.61-0.17",261.87,-35.25
113,"G353.035+0.7 ","   "," ",6.8,1.7,3.7,1.8,0.116,7.1,260.2,5630,40,B,C,"[L89b] 353.035+0.748",261.24,-34.39
114,"G353.08+0.36 ","   "," ",7.9,0.6,9.5,1.8,0.078,19.4,168.3,5390,100,E,C,"Gal 353.08+0.36",261.67,-34.57
115,"G353.14+0.66 ","   "," ",7.6,16.0,7.2,33.5,0.096,56.1,88.7,6250,30,B,B,"Gal 353.14+0.66",261.4,-34.35
116,"G353.186+0.8 ","   ","S11",7.6,0.9,5.2,1.3,0.107,66.3,682.4,7100,40,B,B,"Sh 2-11",261.07,-34.33
117,"G353.21+0.91 ","   "," ",7.7,,5.0,,0.099,62.1,,6900,50,B,B,"Gal 353.21+0.91",261.2,-34.17
118,"G353.398-0.3 ","   "," ",5.2,3.3,2.6,2.5,0.05,9.3,376.7,8480,60,A,C,"[L89b] 353.398-00.391",262.63,-34.72
119,"G353.43-0.37 ","   "," ",5.3,3.3,2.7,2.5,0.064,8.6,350.7,7750,110,B,C,"Gal 353.43-0.37",262.62,-34.68
